36.0
         127901 function calls (126409 primitive calls) in 0.215 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:1(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:1(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:1(Loop)
        1    0.000    0.000    0.000    0.000 <string>:1(Match)
        1    0.000    0.000    0.000    0.000 <string>:1(Mismatch)
        1    0.000    0.000    0.000    0.000 <string>:1(ModuleInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(Partition)
        1    0.000    0.000    0.000    0.000 <string>:1(QuicksortImplementation)
        1    0.000    0.000    0.000    0.000 <string>:1(SetLoop)
        1    0.000    0.000    0.000    0.000 <string>:1(Status)
        1    0.000    0.000    0.000    0.000 <string>:1(Traceback)
        1    0.000    0.000    0.000    0.000 <string>:1(_BoxContext)
        1    0.000    0.000    0.000    0.000 <string>:1(_CompileResult)
        1    0.000    0.000    0.000    0.000 <string>:1(_CompileStats)
        1    0.000    0.000    0.000    0.000 <string>:1(_ForIterLoop)
        1    0.000    0.000    0.000    0.000 <string>:1(_IteratorLoop)
        1    0.000    0.000    0.000    0.000 <string>:1(_LowerResult)
        1    0.000    0.000    0.000    0.000 <string>:1(_ReflectContext)
        1    0.000    0.000    0.000    0.000 <string>:1(_TypeofContext)
        1    0.000    0.000    0.000    0.000 <string>:1(_UFuncLoopSpec)
        1    0.000    0.000    0.000    0.000 <string>:1(_UnboxContext)
        1    0.000    0.000    0.000    0.000 <string>:1(_VarArgItem)
        1    0.000    0.000    0.000    0.000 <string>:1(dead_maps_result)
        1    0.000    0.000    0.000    0.000 <string>:1(error)
        1    0.000    0.000    0.000    0.000 <string>:1(loop_lift_info)
        1    0.000    0.000    0.000    0.000 <string>:1(nrt_mstats)
        1    0.000    0.000    0.000    0.000 <string>:1(opcode_info)
        1    0.000    0.000    0.000    0.000 <string>:1(use_defs_result)
        1    0.000    0.000    0.000    0.000 <string>:11(com_error)
        1    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
        1    0.000    0.000    0.000    0.000 StringIO.py:42(StringIO)
        5    0.000    0.000    0.000    0.000 UserDict.py:4(__init__)
       21    0.000    0.000    0.000    0.000 UserDict.py:43(clear)
        1    0.000    0.000    0.000    0.000 UserDict.py:57(items)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:74(_Feature)
        7    0.000    0.000    0.000    0.000 __future__.py:75(__init__)
       15    0.022    0.001    0.180    0.012 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:101(CFunctionType)
        8    0.000    0.000    0.000    0.000 __init__.py:101(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1010(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1015(__init__)
       79    0.000    0.000    0.000    0.000 __init__.py:105(__setitem__)
        1    0.003    0.003    0.052    0.052 __init__.py:106(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:109(cpu_count)
        1    0.000    0.000    0.000    0.000 __init__.py:1112(Logger)
        1    0.000    0.000    0.000    0.000 __init__.py:1127(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:12(_init)
        1    0.000    0.000    0.000    0.000 __init__.py:1387(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1393(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1401(LoggerAdapter)
       14    0.000    0.000    0.000    0.000 __init__.py:144(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:147(EnumMeta)
        1    0.002    0.002    0.003    0.003 __init__.py:15(<module>)
        8    0.001    0.000    0.002    0.000 __init__.py:153(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:156(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:165(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:1689(NullHandler)
       62    0.000    0.000    0.000    0.000 __init__.py:169(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:169(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:173(c_long)
